#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
26141-1-138,.26141_1_138.82,376,1251,+,blaCTX-M-27_1,1-876/876,===============,0/0,100,100,resfinder,AY156923,blaCTX-M-27,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-139,.26141_1_139.1,364135,365367,-,mdf(A)_1,1-1233/1233,===============,0/0,100,97.81,resfinder,Y08743,mdf(A),
26141-1-139,.26141_1_139.45,195,1116,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-139,.26141_1_139.45,6411,7277,-,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
26141-1-139,.26141_1_139.45,7797,8585,-,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
26141-1-139,.26141_1_139.45,8716,9189,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
26141-1-139,.26141_1_139.51,518,1764,-,tet(A)_6,1-1247/1275,===============,0/0,97.8,100,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
26141-1-139,.26141_1_139.51,2743,3579,-,aph(6)-Id_1,1-837/837,===============,0/0,100,99.88,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-139,.26141_1_139.51,3579,4382,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-139,.26141_1_139.51,4443,5258,-,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
26141-1-139,.26141_1_139.60,376,1251,+,blaCTX-M-27_1,1-876/876,===============,0/0,100,100,resfinder,AY156923,blaCTX-M-27,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-140,.26141_1_140.2,208688,209920,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
26141-1-140,.26141_1_140.38,1861,3066,+,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
26141-1-140,.26141_1_140.75,3028,3864,-,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-140,.26141_1_140.75,3864,4667,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-140,.26141_1_140.75,4728,5543,-,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
26141-1-140,.26141_1_140.77,2763,3638,-,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-140,.26141_1_140.78,1763,2236,+,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
26141-1-140,.26141_1_140.78,2367,3155,+,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
26141-1-140,.26141_1_140.78,3675,4541,+,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
26141-1-140,.26141_1_140.85,195,1116,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-140,.26141_1_140.88,1822,2682,-,aac(3)-IIa_1,1-861/861,===============,0/0,100,99.77,resfinder,X51534,aac(3)-IIa,Gentamicin;Tobramycin
26141-1-140,.26141_1_140.92,172,771,+,aac(6')-Ib-cr_1,1-600/600,===============,0/0,100,100,resfinder,DQ303918,aac(6')-Ib-cr,Ciprofloxacin
26141-1-140,.26141_1_140.92,902,1732,+,blaOXA-1_1,1-831/831,===============,0/0,100,100,resfinder,HQ170510,blaOXA-1,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
26141-1-140,.26141_1_140.92,1870,2314,+,catB3_1,1-445/633,===========....,0/0,70.3,99.78,resfinder,AJ009818,catB3,Chloramphenicol
26141-1-141,.26141_1_141.1,208686,209918,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
26141-1-141,.26141_1_141.33,43373,44248,-,blaCTX-M-14b_1,1-876/876,===============,0/0,100,99.89,resfinder,DQ359215,blaCTX-M-14b,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-141,.26141_1_141.66,4715,5374,-,catA1_1,1-660/660,===============,0/0,100,99.85,resfinder,V00622,catA1,Chloramphenicol
26141-1-141,.26141_1_141.70,1652,2857,-,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
26141-1-141,.26141_1_141.72,158,994,-,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-141,.26141_1_141.72,994,1797,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-141,.26141_1_141.72,1858,2673,-,sul2_3,1-816/816,===============,0/0,100,100,resfinder,HQ840942,sul2,Sulfamethoxazole
26141-1-141,.26141_1_141.76,219,1140,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-141,.26141_1_141.77,150,711,-,sul1_5,1-562/867,==========.....,0/0,64.82,99.82,resfinder,EU780013,sul1,Sulfamethoxazole
26141-1-141,.26141_1_141.77,1231,2019,-,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
26141-1-141,.26141_1_141.77,2150,2623,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
26141-1-141,.26141_1_141.79,312,1172,+,aac(3)-IId_1,1-861/861,===============,0/0,100,99.88,resfinder,EU022314,aac(3)-IId,Gentamicin;Tobramycin
26141-1-141,.26141_1_141.90,690,1550,+,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
26141-1-142,.26141_1_142.26,39837,40636,-,ant(3'')-Ia_1,170-972/972,..======/======,01-Mar,82.3,99.38,resfinder,X02340,ant(3'')-Ia,Streptomycin
26141-1-142,.26141_1_142.26,41302,41775,-,dfrA1_8,1-474/474,===============,0/0,100,100,resfinder,X00926,dfrA1,Trimethoprim
26141-1-142,.26141_1_142.4,39354,40586,+,mdf(A)_1,1-1233/1233,===============,0/0,100,97.89,resfinder,Y08743,mdf(A),
26141-1-142,.26141_1_142.50,630,1127,+,dfrA12_8,1-498/498,===============,0/0,100,100,resfinder,AM040708,dfrA12,Trimethoprim
26141-1-142,.26141_1_142.50,1525,2326,+,aadA2_1,18-819/819,===============,0/0,97.92,99.88,resfinder,NC_010870,aadA2,Streptomycin
26141-1-142,.26141_1_142.50,2804,3670,+,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
26141-1-142,.26141_1_142.50,8965,9886,-,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-142,.26141_1_142.53,5040,5900,-,aac(3)-IId_1,1-861/861,===============,0/0,100,99.88,resfinder,EU022314,aac(3)-IId,Gentamicin;Tobramycin
26141-1-142,.26141_1_142.59,2508,3713,-,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
26141-1-142,.26141_1_142.62,134,970,-,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-142,.26141_1_142.62,970,1773,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-142,.26141_1_142.62,1834,2649,-,sul2_3,1-816/816,===============,0/0,100,100,resfinder,HQ840942,sul2,Sulfamethoxazole
26141-1-142,.26141_1_142.71,475,1350,-,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-142,.26141_1_142.85,58,918,+,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
26141-1-143,.26141_1_143.27,39958,40757,-,ant(3'')-Ia_1,170-972/972,..======/======,01-Mar,82.3,99.38,resfinder,X02340,ant(3'')-Ia,Streptomycin
26141-1-143,.26141_1_143.27,41423,41896,-,dfrA1_8,1-474/474,===============,0/0,100,100,resfinder,X00926,dfrA1,Trimethoprim
26141-1-143,.26141_1_143.4,39354,40586,+,mdf(A)_1,1-1233/1233,===============,0/0,100,97.89,resfinder,Y08743,mdf(A),
26141-1-143,.26141_1_143.50,630,1127,+,dfrA12_8,1-498/498,===============,0/0,100,100,resfinder,AM040708,dfrA12,Trimethoprim
26141-1-143,.26141_1_143.50,1525,2326,+,aadA2_1,18-819/819,===============,0/0,97.92,99.88,resfinder,NC_010870,aadA2,Streptomycin
26141-1-143,.26141_1_143.50,2804,3670,+,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
26141-1-143,.26141_1_143.50,8965,9886,-,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-143,.26141_1_143.53,5040,5900,-,aac(3)-IId_1,1-861/861,===============,0/0,100,99.88,resfinder,EU022314,aac(3)-IId,Gentamicin;Tobramycin
26141-1-143,.26141_1_143.60,2521,3726,-,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
26141-1-143,.26141_1_143.62,134,970,-,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-143,.26141_1_143.62,970,1773,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-143,.26141_1_143.62,1834,2649,-,sul2_3,1-816/816,===============,0/0,100,100,resfinder,HQ840942,sul2,Sulfamethoxazole
26141-1-143,.26141_1_143.70,475,1350,-,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-143,.26141_1_143.81,58,918,+,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
26141-1-144,.26141_1_144.2,210743,211975,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
26141-1-144,.26141_1_144.25,1816,2289,+,dfrA1_8,1-474/474,===============,0/0,100,100,resfinder,X00926,dfrA1,Trimethoprim
26141-1-144,.26141_1_144.25,2955,3754,+,ant(3'')-Ia_1,170-972/972,..======/======,01-Mar,82.3,99.38,resfinder,X02340,ant(3'')-Ia,Streptomycin
26141-1-144,.26141_1_144.4,187676,188551,-,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-144,.26141_1_144.52,444,1247,+,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-144,.26141_1_144.52,1247,2083,+,aph(6)-Id_1,1-837/837,===============,0/0,100,99.88,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-144,.26141_1_144.52,3344,4618,+,tet(A)_6,1-1275/1275,===============,0/0,100,100,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
26141-1-144,.26141_1_144.52,7980,8554,+,sul2_13,1-575/816,===========....,0/0,70.47,100,resfinder,AJ289135,sul2,Sulfamethoxazole
26141-1-145,.26141_1_145.1,158813,160045,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.35,resfinder,Y08743,mdf(A),
26141-1-145,.26141_1_145.106,310,875,-,aadA5_1,1-566/789,===========....,0/0,71.74,100,resfinder,AF137361,aadA5,Streptomycin
26141-1-145,.26141_1_145.106,1006,1479,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
26141-1-145,.26141_1_145.108,1,476,+,aac(6')-Ib-cr_1,125-600/600,...============,0/0,79.33,99.79,resfinder,DQ303918,aac(6')-Ib-cr,Ciprofloxacin
26141-1-145,.26141_1_145.108,607,1437,+,blaOXA-1_1,1-831/831,===============,0/0,100,100,resfinder,HQ170510,blaOXA-1,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
26141-1-145,.26141_1_145.108,1575,2207,+,catB3_2,1-633/633,===============,0/0,100,100,resfinder,U13880,catB3,Chloramphenicol
26141-1-145,.26141_1_145.123,805,1620,+,sul2_6,1-816/816,===============,0/0,100,100,resfinder,FN995456,sul2,Sulfamethoxazole
26141-1-145,.26141_1_145.163,1,424,+,dfrA14_1,51-474/474,.==============,0/0,89.45,100,resfinder,KF921535,dfrA14,Trimethoprim
26141-1-145,.26141_1_145.3,9675,10550,+,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-145,.26141_1_145.81,979,2225,+,tet(A)_6,1-1247/1275,===============,0/0,97.8,100,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
26141-1-145,.26141_1_145.81,3213,4016,+,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-145,.26141_1_145.81,4016,4852,+,aph(6)-Id_1,1-837/837,===============,0/0,100,99.88,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-145,.26141_1_145.81,5387,6247,-,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
26141-1-145,.26141_1_145.87,490,1350,+,aac(3)-IId_1,1-861/861,===============,0/0,100,99.88,resfinder,EU022314,aac(3)-IId,Gentamicin;Tobramycin
26141-1-145,.26141_1_145.96,199,1120,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-146,.26141_1_146.121,169,678,+,dfrA8_1,1-510/510,===============,0/0,100,100,resfinder,U10186,dfrA8,Trimethoprim
26141-1-146,.26141_1_146.2,208686,209918,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
26141-1-146,.26141_1_146.51,13945,15150,+,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
26141-1-146,.26141_1_146.60,2143,2616,+,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
26141-1-146,.26141_1_146.60,2747,3535,+,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
26141-1-146,.26141_1_146.60,4055,4921,+,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
26141-1-146,.26141_1_146.60,10216,11137,-,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-146,.26141_1_146.76,3666,4526,-,blaSHV-12_1,1-861/861,===============,0/0,100,99.88,resfinder,KF976405,blaSHV-12,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-146,.26141_1_146.85,49,864,+,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
26141-1-146,.26141_1_146.85,925,1456,+,aph(3'')-Ib_5,1-532/804,==========.....,0/0,66.17,99.81,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-146,.26141_1_146.85,1464,1946,+,dfrA14_5,1-483/483,===============,0/0,100,99.79,resfinder,DQ388123,dfrA14,Trimethoprim
26141-1-146,.26141_1_146.85,2296,3132,+,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-146,.26141_1_146.86,1593,2453,-,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
26141-1-147,.26141_1_147.2,208686,209918,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
26141-1-147,.26141_1_147.32,45694,46554,-,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
