,gene_accession,Class,Phenotype,Mechanism of resistance,gene,accession
25,ant(6)-Ia_1_AF330699,Aminoglycoside,Streptomycin,Enzymatic modification,ant(6)-Ia_1,AF330699
26,ant(6)-Ia_2_KF421157,Aminoglycoside,Streptomycin,Enzymatic modification,ant(6)-Ia_2,KF421157
27,ant(6)-Ia_3_KF864551,Aminoglycoside,Streptomycin,Enzymatic modification,ant(6)-Ia_3,KF864551
28,ant(6)-Ia_5_AB247327,Aminoglycoside,Streptomycin,Enzymatic modification,ant(6)-Ia_5,AB247327
29,ant(6)-Ib_1_FN594949,Aminoglycoside,Streptomycin,Enzymatic modification,ant(6)-Ib_1,FN594949
30,ant(9)-Ia_1_X02588,Aminoglycoside,Spectinomycin,Enzymatic modification,ant(9)-Ia_1,X02588
31,ant(9)-Ia_2_M69221,Aminoglycoside,Spectinomycin,Enzymatic modification,ant(9)-Ia_2,M69221
32,aph(2'')-Ia_2_AP009486,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Enzymatic modification,aph(2'')-Ia_2,AP009486
33,aph(2'')-Ia_3_AJ536195,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Enzymatic modification,aph(2'')-Ia_3,AJ536195
34,aph(2'')-Ib_1_AF337947,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Enzymatic modification,aph(2'')-Ib_1,AF337947
35,aph(2'')-Ib_2_AF207840,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Enzymatic modification,aph(2'')-Ib_2,AF207840
36,aph(2'')-Ib_3_KF652098,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Enzymatic modification,aph(2'')-Ib_3,KF652098
37,aph(2'')-Ic_1_U51479,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Enzymatic modification,aph(2'')-Ic_1,U51479
38,aph(2'')-Id_1_AF016483,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Spectinomycin",Enzymatic modification,aph(2'')-Id_1,AF016483
39,aph(2'')-Ie_1_AY743255,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Spectinomycin",Enzymatic modification,aph(2'')-Ie_1,AY743255
40,aph(2'')-If_1_KF652097,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Enzymatic modification,aph(2'')-If_1,KF652097
41,aph(2'')-If_2_AY701528,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Enzymatic modification,aph(2'')-If_2,AY701528
42,aph(2'')-Ig_1_CP004067,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Enzymatic modification,aph(2'')-Ig_1,CP004067
43,aph(2'')-Ih_1_KF652096,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Enzymatic modification,aph(2'')-Ih_1,KF652096
44,aph(3')-Ia_1_V00359,Aminoglycoside,"Neomycin,Kanamycin,Lividomycin,Paromomycin,Ribostamycin",Enzymatic modification,aph(3')-Ia_1,V00359
45,aph(3'')-Ia_1_X53527,Aminoglycoside,Streptomycin,Enzymatic modification,aph(3'')-Ia_1,X53527
46,aph(3')-Ia_10_EU855787,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aph(3')-Ia_10,EU855787
47,aph(3'')-Ia_2_AP009493,Aminoglycoside,Streptomycin,Enzymatic modification,aph(3'')-Ia_2,AP009493
48,aph(3')-Ia_2_EU287476,Aminoglycoside,Kanamycin,Enzymatic modification,aph(3')-Ia_2,EU287476
49,aph(3')-Ia_3_EF015636,Aminoglycoside,"Kanamycin, Neomycin",Enzymatic modification,aph(3')-Ia_3,EF015636
50,aph(3'')-Ia_3_M37378,Aminoglycoside,Streptomycin,Enzymatic modification,aph(3'')-Ia_3,M37378
51,aph(3')-Ia_4_AF498082,Aminoglycoside,"Kanamycin, Neomycin",Enzymatic modification,aph(3')-Ia_4,AF498082
52,aph(3')-Ia_5_AP004237,Aminoglycoside,Kanamycin,Enzymatic modification,aph(3')-Ia_5,AP004237
53,aph(3')-Ia_6_L05392,Aminoglycoside,Kanamycin,Enzymatic modification,aph(3')-Ia_6,L05392
54,aph(3')-Ia_7_X62115,Aminoglycoside,"Neomycin,Kanamycin,Lividomycin,Paromomycin,Ribostamycin",Enzymatic modification,aph(3')-Ia_7,X62115
55,aph(3')-Ia_8_Y00452,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aph(3')-Ia_8,Y00452
56,aph(3')-Ia_9_EU722351,Aminoglycoside,Kanamycin,Enzymatic modification,aph(3')-Ia_9,EU722351
57,aph(3')-Ib_1_M20305,Aminoglycoside,"Neomycin,Kanamycin,Lividomycin,Paromomycin,Ribostamycin",Enzymatic modification,aph(3')-Ib_1,M20305
58,aph(3'')-Ib_1_M28829,Aminoglycoside,Streptomycin,Enzymatic modification,aph(3'')-Ib_1,M28829
59,aph(3'')-Ib_2_AF024602,Aminoglycoside,Streptomycin,Enzymatic modification,aph(3'')-Ib_2,AF024602
60,aph(3')-Ib_2_AJ744860,Aminoglycoside,Kanamycin,Enzymatic modification,aph(3')-Ib_2,AJ744860
61,aph(3'')-Ib_3_AF321550,Aminoglycoside,Streptomycin,Enzymatic modification,aph(3'')-Ib_3,AF321550
62,aph(3'')-Ib_4_AF313472,Aminoglycoside,Streptomycin,Enzymatic modification,aph(3'')-Ib_4,AF313472
63,aph(3'')-Ib_5_AF321551,Aminoglycoside,Streptomycin,Enzymatic modification,aph(3'')-Ib_5,AF321551
64,aph(3'')-Ic_1_DQ336355,Aminoglycoside,Streptomycin,Enzymatic modification,aph(3'')-Ic_1,DQ336355
65,aph(3')-Id_1_Z48231,Aminoglycoside,"Neomycin,Kanamycin,Lividomycin,Paromomycin,Ribostamycin",Enzymatic modification,aph(3')-Id_1,Z48231
66,aph(3')-IIa_1_X57709,Aminoglycoside,"Kanamycin,Neomycin,Paromomycin,Ribostamycin,Butiromycin,Gentamicin",Enzymatic modification,aph(3')-IIa_1,X57709
67,aph(3')-IIa_2_V00618,Aminoglycoside,"Kanamycin, Neomycin",Enzymatic modification,aph(3')-IIa_2,V00618
68,aph(3')-IIb_1_X90856,Aminoglycoside,"Kanamycin,Neomycin,Paromomycin,Ribostamycin,Butiromycin,Gentamicin",Enzymatic modification,aph(3')-IIb_1,X90856
69,aph(3')-IIb_2_CP006832,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aph(3')-IIb_2,CP006832
70,aph(3')-IIc_1_AM743169,Aminoglycoside,"Butirosin, Kanamycin, Neomycin, Paromomycin",Enzymatic modification,aph(3')-IIc_1,AM743169
71,aph(3')-III_1_M26832,Aminoglycoside,"Kanamycin, Amikacin, Neomycin, Butirosin, Isepamicin, Lividomycin, Paromomycin, Ribostamycin",Enzymatic modification,aph(3')-III_1,M26832
72,aph(3')-IIIa_1_AF330699,Aminoglycoside,"Amikacin, Kanamycin",Enzymatic modification,aph(3')-IIIa_1,AF330699
73,aph(3')-IIIa_2_AJ490186,Aminoglycoside,Amikacin,Enzymatic modification,aph(3')-IIIa_2,AJ490186
74,aph(3')-IIIa_3_AB247327,Aminoglycoside,Amikacin,Enzymatic modification,aph(3')-IIIa_3,AB247327
75,aph(3')-IV_1_X03364,Aminoglycoside,"Butirosin,Kanamycin,Neomycin,Paromomycin,Ribostamycin",Enzymatic modification,aph(3')-IV_1,X03364
76,aph(3')-IX_1_APPN01000061,Aminoglycoside,Amikacin,Enzymatic modification,aph(3')-IX_1,APPN01000061
77,aph(3')-Va_1_K00432,Aminoglycoside,"Neomycin,Ribostamycin,Paromomycin",Enzymatic modification,aph(3')-Va_1,K00432
78,aph(3')-Va_2_AB211959,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aph(3')-Va_2,AB211959
79,aph(3')-Vb_1_M22126,Aminoglycoside,"Neomycin,Ribostamycin,Paromomycin",Enzymatic modification,aph(3')-Vb_1,M22126
80,aph(3')-Vb_2_AJ744850,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aph(3')-Vb_2,AJ744850
81,aph(3')-Vc_1_S81599,Aminoglycoside,"Neomycin,Ribostamycin,Paromomycin",Enzymatic modification,aph(3')-Vc_1,S81599
82,aph(3')-VI_1_KC170992,Aminoglycoside,Amikacin,Enzymatic modification,aph(3')-VI_1,KC170992
83,aph(3')-VI_2_APPJ01000012,Aminoglycoside,Amikacin,Enzymatic modification,aph(3')-VI_2,APPJ01000012
84,aph(3')-VIa_1_X07753,Aminoglycoside,"Kanamycin,Neomycin,Paromomycin,Ribostamycin,Butirosin,Gentamicin,Amikacin",Enzymatic modification,aph(3')-VIa_1,X07753
85,aph(3')-VIb_1_AJ627643,Aminoglycoside,"Kanamycin,Neomycin,Paromomycin,Ribostamycin,Butirosin,Gentamicin,Amikacin",Enzymatic modification,aph(3')-VIb_1,AJ627643
86,aph(3')-VIIa_1_M29953,Aminoglycoside,"Kanamycin,Neomycin,Amikacin",Enzymatic modification,aph(3')-VIIa_1,M29953
87,aph(3')-VIII_1_ATGI01000028,Aminoglycoside,Amikacin,Enzymatic modification,aph(3')-VIII_1,ATGI01000028
88,aph(3')-XV_1_Y18050,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aph(3')-XV_1,Y18050
89,aph(3')-XV_2_GQ626879,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aph(3')-XV_2,GQ626879
90,aph(3')-XV_3_EU165039,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aph(3')-XV_3,EU165039
91,aph(4)-Ia_1_V01499,Aminoglycoside,Hygromycin,Enzymatic modification,aph(4)-Ia_1,V01499
92,aph(6)-Ia_1_AY971801,Aminoglycoside,"Streptomycin,Kanamycin",Enzymatic modification,aph(6)-Ia_1,AY971801
93,aph(6)-Ia_2_Y00459,Aminoglycoside,Streptomycin,Enzymatic modification,aph(6)-Ia_2,Y00459
94,aph(6)-Ib_1_X05648,Aminoglycoside,"Streptomycin, Kanamycin",Enzymatic modification,aph(6)-Ib_1,X05648
95,aph(6)-Ic_1_X01702,Aminoglycoside,Streptomycin,Enzymatic modification,aph(6)-Ic_1,X01702
96,aph(6)-Id_1_M28829,Aminoglycoside,Streptomycin,Enzymatic modification,aph(6)-Id_1,M28829
97,aph(6)-Id_2_AF024602,Aminoglycoside,Streptomycin,Enzymatic modification,aph(6)-Id_2,AF024602
98,aph(6)-Id_3_AB109805,Aminoglycoside,Streptomycin,Enzymatic modification,aph(6)-Id_3,AB109805
99,aph(6)-Id_4_CP000971,Aminoglycoside,Streptomycin,Enzymatic modification,aph(6)-Id_4,CP000971
100,aph(6)-Id_5_18676889,Aminoglycoside,Streptomycin,Enzymatic modification,aph(6)-Id_5,18676889
101,aph(7'')-Ia_1_X03615,Aminoglycoside,Hygromycin,Enzymatic modification,aph(7'')-Ia_1,X03615
102,aph(9)-Ia_1_U94857,Aminoglycoside,Spectinomycin,Enzymatic modification,aph(9)-Ia_1,U94857
103,aph(9)-Ia_2_CR628337,Aminoglycoside,Spectinomycin,Enzymatic modification,aph(9)-Ia_2,CR628337
104,aph(9)-Ib_1_U70376,Aminoglycoside,Spectinomycin,Enzymatic modification,aph(9)-Ib_1,U70376
105,armA_1_AY220558,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin,Isepamicin,Netilmicin",Target protection,armA_1,AY220558
106,fmrO_1_Q08325,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin",Target protection,fmrO_1,Q08325
107,grmA_1_M55520,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin",Target protection,grmA_1,M55520
108,grmB_1_M55521,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin",Target protection,grmB_1,M55521
109,grmO_1_AY524043,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin",Target protection,grmO_1,AY524043
110,kamB_1_AJ629123,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Apramycin",Target protection,kamB_1,AJ629123
111,kgmB_1_S60108,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin",Target protection,kgmB_1,S60108
112,kmr_1_ENA_ACB88605,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin",Target protection,kmr_1,ACB88605
113,npmA_1_AB261016,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Dibekacin, Kanamycin, Isepamicin, Netilmicin, Sisomicin, Neomycin, Apramycin",Target protection,npmA_1,AB261016
114,rmtA_1_AB120321,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Isepamicin, Arbekacin, Kanamycin",Target protection,rmtA_1,AB120321
115,rmtB_1_AB103506,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin, Arbekacin, Sisomicin, Isepamicin",Target protection,rmtB_1,AB103506
116,rmtB2_1_JN968578,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin",Target protection,rmtB2_1,JN968578
117,rmtC_1_AB194779,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin, Arbekacin, Sisomicin, Isepamicin",Target protection,rmtC_1,AB194779
118,rmtD_1_DQ914960,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Arbekacin",Target protection,rmtD_1,DQ914960
119,rmtD2_1_HQ401565,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin, Netilmicin",Target protection,rmtD2_1,HQ401565
120,rmtE_1_GU201947,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Kanamycin, Streptomycin",Target protection,rmtE_1,GU201947
121,rmtF_1_JQ808129,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin",Target protection,rmtF_1,JQ808129
122,rmtG_1_JX486113,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Arbekacin",Target protection,rmtG_1,JX486113
123,rmtH_1_KC544262,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin",Target protection,rmtH_1,KC544262
124,sgm_1_M87057,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin",Target protection,sgm_1,M87057
125,str_1_X92946,Aminoglycoside,Streptomycin,Enzymatic modification,str_1,X92946
126,str_2_FN435330,Aminoglycoside,Streptomycin,Enzymatic modification,str_2,FN435330
127,str_3_AM932524,Aminoglycoside,Streptomycin,Enzymatic modification,str_3,AM932524
128,aac(2')-Ia_1_L06156,Aminoglycoside,"Gentamicin,Tobramycin,Dibekacin,Netilmicin",Enzymatic modification,aac(2')-Ia_1,L06156
129,aac(2')-Ib_1_U41471,Aminoglycoside,"Gentamicin,Tobramycin,Dibekacin,Netilmicin",Enzymatic modification,aac(2')-Ib_1,U41471
130,aac(2')-Ic_1_U72714,Aminoglycoside,"Gentamicin,Tobramycin,Dibekacin,Netilmicin",Enzymatic modification,aac(2')-Ic_1,U72714
131,aac(2')-Id_1_U72743,Aminoglycoside,"Gentamicin,Tobramycin,Dibekacin,Netilmicin",Enzymatic modification,aac(2')-Id_1,U72743
132,aac(2')-Ie_1_NC011896,Aminoglycoside,"Gentamicin,Tobramycin,Dibekacin,Netilmicin",Enzymatic modification,aac(2')-Ie_1,NC011896
133,aac(2')-IIa_1_AB669090,Aminoglycoside,Kasugamycin,Enzymatic modification,aac(2')-IIa_1,AB669090
134,aac(3)-I_1_AJ877225,Aminoglycoside,"Gentamicin,Astromicin,Fortimicin",Enzymatic modification,aac(3)-I_1,AJ877225
135,aac(3)-Ia_1_X15852,Aminoglycoside,"Gentamicin,Astromicin,Fortimicin",Enzymatic modification,aac(3)-Ia_1,X15852
136,aac(3)-Ib_1_L06157,Aminoglycoside,"Gentamicin,Astromicin,Fortimicin",Enzymatic modification,aac(3)-Ib_1,L06157
137,aac(3)-Ib-aac(6')-Ib_1_AF355189,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Streptomycin",Enzymatic modification,aac(3)-Ib-aac(6')-Ib_1,AF355189
138,aac(3)-Ic_1_AJ511268,Aminoglycoside,"Gentamicin,Astromicin,Fortimicin",Enzymatic modification,aac(3)-Ic_1,AJ511268
139,aac(3)-Id_1_AB114632,Aminoglycoside,"Gentamicin,Astromicin,Fortimicin",Enzymatic modification,aac(3)-Id_1,AB114632
140,aac(3)-If_1_AY884051,Aminoglycoside,"Gentamicin,Astromicin,Fortimicin",Enzymatic modification,aac(3)-If_1,AY884051
141,aac(3)-Ig_1_CP000282,Aminoglycoside,"Gentamicin,Astromicin,Fortimicin",Enzymatic modification,aac(3)-Ig_1,CP000282
142,aac(3)-Ih_1_CP000490,Aminoglycoside,"Gentamicin,Astromicin,Fortimicin",Enzymatic modification,aac(3)-Ih_1,CP000490
143,aac(3)-Ii_1_CP000356,Aminoglycoside,"Gentamicin,Astromicin,Fortimicin",Enzymatic modification,aac(3)-Ii_1,CP000356
144,aac(3)-IIa_1_X51534,Aminoglycoside,"Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,Sisomicin",Enzymatic modification,aac(3)-IIa_1,X51534
145,aac(3)-IIa_2_AY138987,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,aac(3)-IIa_2,AY138987
146,aac(3)-IIa_3_X13543,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,aac(3)-IIa_3,X13543
147,aac(3)-IIa_4_L22613,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,aac(3)-IIa_4,L22613
148,aac(3)-IIa_5_FJ012882,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,aac(3)-IIa_5,FJ012882
149,aac(3)-IIa_6_CP023555,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,aac(3)-IIa_6,CP023555
150,aac(3)-IIb_1_M97172,Aminoglycoside,"Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,Sisomicin",Enzymatic modification,aac(3)-IIb_1,M97172
151,aac(3)-IIc_1_X54723,Aminoglycoside,"Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,Sisomicin",Enzymatic modification,aac(3)-IIc_1,X54723
152,aac(3)-IId_1_EU022314,Aminoglycoside,"Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,Sisomicin",Enzymatic modification,aac(3)-IId_1,EU022314
153,aac(3)-IIe_1_EU022315,Aminoglycoside,"Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,Sisomicin",Enzymatic modification,aac(3)-IIe_1,EU022315
154,aac(3)-IIIa_1_X55652,Aminoglycoside,"Gentamicin,Tobramycin,Dibekacin,Sisomicin",Enzymatic modification,aac(3)-IIIa_1,X55652
155,aac(3)-IIIb_1_L06160,Aminoglycoside,"Gentamicin,Tobramycin,Dibekacin,Sisomicin",Enzymatic modification,aac(3)-IIIb_1,L06160
156,aac(3)-IIIb_2_LLLC01000048,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,aac(3)-IIIb_2,LLLC01000048
157,aac(3)-IIIc_1_L06161,Aminoglycoside,"Gentamicin,Tobramycin,Dibekacin,Sisomicin",Enzymatic modification,aac(3)-IIIc_1,L06161
158,aac(3)-IV_1_DQ241380,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,aac(3)-IV_1,DQ241380
159,aac(3)-IVa_1_X01385,Aminoglycoside,"Apramycin,Gentamicin,Dibekacin,Netilmicin,Sisomicin,Tobramycin",Enzymatic modification,aac(3)-IVa_1,X01385
160,aac(3)-IXa_1_M55427,Aminoglycoside,"Gentamicin,Dibekacin,Kanamycin,Neomycin,Paromomycin,Amikacin,Arbekacin",Enzymatic modification,aac(3)-IXa_1,M55427
161,aac(3)-VIa_1_M88012,Aminoglycoside,"Gentamicin,Sisomicin,Netilmicin,Tobramycin",Enzymatic modification,aac(3)-VIa_1,M88012
162,aac(3)-VIa_2_NC_009838,Aminoglycoside,Gentamicin,Enzymatic modification,aac(3)-VIa_2,9838
163,aac(3)-VIIa_1_M22999,Aminoglycoside,"Gentamicin,Dibekacin,Kanamycin,Neomycin,Paromomycin,Amikacin,Arbekacin",Enzymatic modification,aac(3)-VIIa_1,M22999
164,aac(3)-VIII_1_AB211959,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aac(3)-VIII_1,AB211959
165,aac(3)-VIII_2_AJ843080,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aac(3)-VIII_2,AJ843080
166,aac(3)-VIII_3_AJ748131,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aac(3)-VIII_3,AJ748131
167,aac(3)-VIIIa_1_M55426,Aminoglycoside,"Gentamicin,Dibekacin,Kanamycin,Neomycin,Paromomycin,Amikacin,Arbekacin",Enzymatic modification,aac(3)-VIIIa_1,M55426
168,aac(3)-Xa_1_AB028210,Aminoglycoside,"Gentamicin,Dibekacin,Kanamycin,Neomycin,Paromomycin,Amikacin,Arbekacin",Enzymatic modification,aac(3)-Xa_1,AB028210
169,aac(3)-XI_1_CTEG01000046,Aminoglycoside,Unknown Aminoglycoside,Enzymatic modification,aac(3)-XI_1,CTEG01000046
170,aac(6')-29a_1_AF263519,Aminoglycoside,"Amikacin, Tobramycin, Neomycin, Kanamycin, Netilmicin, isepamicin, Sisomicin",Enzymatic modification,aac(6')-29a_1,AF263519
171,aac(6')-29b_1_AF263519,Aminoglycoside,"Amikacin, Tobramycin, Neomycin, Kanamycin, Netilmicin, isepamicin, Sisomicin",Enzymatic modification,aac(6')-29b_1,AF263519
172,aac(6')-30-aac(6')-Ib'_1_AJ584652,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Neomycin, Kanamycin, Netilmicin, isepamicin, Sisomicin",Enzymatic modification,aac(6')-30-aac(6')-Ib'_1,AJ584652
173,aac(6')-31_1_AM283489,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Neomycin, Kanamycin, Netilmicin, isepamicin, Sisomicin",Enzymatic modification,aac(6')-31_1,AM283489
174,aac(6')-32_1_EF614235,Aminoglycoside,Tobramycin,Enzymatic modification,aac(6')-32_1,EF614235
175,aac(6')-33_1_GQ337064,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-33_1,GQ337064
176,aac(6')-aph(2'')_1_M13771,Aminoglycoside,"Gentamicin,Tobramycin,Netilmicin,Kanamycin,Amikacin,Dibekacin,Isepamicin,Fortimicin,Streptomycin",Enzymatic modification,aac(6')-aph(2'')_1,M13771
177,aac(6')-I30_1_AY289608,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-I30_1,AY289608
178,aac(6')-Ia_1_M18967,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Ia_1,M18967
179,aac(6')-Ia_2_M86913,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Ia_2,M86913
180,aac(6')-Iad_1_AB119105,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Iad_1,AB119105
181,aac(6')-Iae_1_AB104852,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Iae_1,AB104852
182,aac(6')-Iaf_1_AB462903,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Iaf_1,AB462903
183,aac(6')-Iag_1_AB472901,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Iag_1,AB472901
184,aac(6')-Iai_1_EU886977,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Iai_1,EU886977
185,aac(6')-Iaj_1_AB709942,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Iaj_1,AB709942
186,aac(6')-Iak_1_AB894482,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Iak_1,AB894482
